"","1","2","3","4","5","6","group","tau1","tau2","tau3"
"mean.61",4.47711655632526,5.0073119771491,7.17454783668543,9.52900087943595,6.25026400519342,7.86716583597641,1,0.530195420823834,2.35445304275052,1.61690183078298
"mean.62",4.46682007813854,4.86153235823971,7.20116709816779,9.95137747008031,6.27435320301898,8.16219333489268,1,0.394712280101166,2.75021037191252,1.8878401318737
"mean.63",4.47973492122052,4.97512830276265,7.17562806819512,9.72887300838653,6.28834032305175,8.28555014868255,1,0.495393381542132,2.55324494019141,1.9972098256308
"mean.64",4.47548911514461,5.03550574597387,7.24474530761431,8.65909871690915,6.43246482792991,8.48439206013422,1,0.56001663082926,1.41435340929483,2.05192723220431
"mean.65",4.47925998193427,5.02282162625069,7.29888543638699,9.64567734268752,6.37865914153281,7.66768789654304,1,0.543561644316427,2.34679190630053,1.28902875501022
"mean.66",4.49008099196757,4.96552671849412,7.26048265620875,9.52194625719644,6.29784768487218,8.23408461401035,1,0.475445726526544,2.26146360098769,1.93623692913818
"mean.67",4.48597753295682,4.99111073540069,7.27503439266599,9.54533997920223,6.27150786670903,8.64232426079558,1,0.505133202443875,2.27030558653624,2.37081639408656
"mean.68",4.47539403808396,4.90053682202757,7.06343347758925,9.08382236834779,6.30593393733505,7.95770820140179,1,0.42514278394361,2.02038889075853,1.65177426406674
"mean.69",4.48060416899457,4.87521867037408,7.1259824240265,10.0771649887259,6.28405811345317,8.4556989101669,1,0.394614501379515,2.95118256469937,2.17164079671373
"mean.70",4.48422433236369,4.9794157975602,7.25850843361102,9.34249019607541,6.30352675440974,8.06665549272791,1,0.495191465196504,2.08398176246439,1.76312873831817
"mean.71",4.48449584892465,4.90501926386228,7.25637990112436,9.55176123880489,6.24112918040055,8.17112157998653,1,0.420523414937628,2.29538133768053,1.92999239958598
"mean.72",4.49508220712,4.98580106923466,7.23769310609387,9.87614542458396,6.27746401801725,8.32095422224395,1,0.490718862114661,2.63845231849009,2.0434902042267
"mean.73",4.45881056853293,4.90242097547511,7.18917254951289,9.2018942413186,6.16610400000556,7.83554387726177,1,0.443610406942176,2.01272169180571,1.66943987725621
"mean.74",4.45560137461919,4.81568765302641,7.19093584569793,9.61449564867763,6.12733671966923,8.14084086275138,1,0.360086278407223,2.4235598029797,2.01350414308215
"mean.75",4.49177410099342,4.89902332929683,7.11671610829518,9.24548691805053,6.20855283715746,8.03434455627204,1,0.40724922830341,2.12877080975534,1.82579171911458
"mean.76",4.47790399480654,4.95544720755172,7.18951423871819,9.62362461204873,6.26417504189827,8.06920339799534,1,0.477543212745177,2.43411037333053,1.80502835609706
"mean.77",4.49598237710906,5.01671391960446,7.23746386145246,9.39316276358174,6.38436724752945,7.99669474776509,1,0.520731542495397,2.15569890212928,1.61232750023565
"mean.78",4.47998401281406,5.04230973375389,7.23658657496507,9.49715819916784,6.31530291913278,8.32045397113199,1,0.562325720939829,2.26057162420277,2.0051510519992
"mean.79",4.48680943964142,4.97658854542244,7.28423116962094,9.61204265335664,6.31787939620559,8.48423836296555,1,0.489779105781021,2.3278114837357,2.16635896675997
"mean.80",4.51202769600419,4.96338792496395,7.18551166061366,9.34635971890342,6.18392086197417,8.45577796305674,1,0.451360228959757,2.16084805828977,2.27185710108257
"mean.81",4.46902351958827,4.85389475930863,7.10677692538353,9.24410535187187,6.2125704532374,7.5788615432673,1,0.384871239720361,2.13732842648834,1.3662910900299
"mean.82",4.50499842595059,4.95475521599128,7.1817037336062,9.56709861013888,6.26620578118011,8.54284952322118,1,0.44975679004069,2.38539487653268,2.27664374204106
"mean.83",4.50385043063283,4.86665346432911,7.22456649341138,9.34403500169971,6.34313303927811,8.00893267214298,1,0.362803033696285,2.11946850828833,1.66579963286487
"mean.84",4.48685570327097,4.78446830299651,7.20112512881113,9.51122875251197,6.19569198766358,7.81914091801854,1,0.297612599725547,2.31010362370084,1.62344893035495
"mean.85",4.4768080943064,4.85967321012458,7.25191697180809,9.47472014250753,6.27424351053409,8.41688824448377,1,0.382865115818181,2.22280317069944,2.14264473394968
"mean.86",4.4788870834037,4.76196959044566,7.25208401562718,9.56706566783832,6.33065995697043,8.25820107704024,1,0.283082507041962,2.31498165221114,1.92754112006981
"mean.87",4.45344989188375,4.8483059937018,7.08393888425118,9.09709932217153,6.29623798864985,7.69617737568754,1,0.394856101818053,2.01316043792034,1.39993938703769
"mean.88",4.45887639000956,4.83130265892064,7.13038830649322,9.7838852663484,6.25789704934041,7.8518632037363,1,0.372426268911082,2.65349695985517,1.5939661543959
"mean.89",4.52447934677934,4.74585761393653,7.18361850331506,9.27464821845352,6.16661470644164,8.44143403546734,1,0.221378267157186,2.09102971513845,2.2748193290257
"mean.90",4.45994671880064,4.76081504938967,7.21933808447122,9.78356312289658,6.31399795329073,7.80478387123916,1,0.300868330589022,2.56422503842536,1.49078591794843
"mean.91",4.47818714125241,4.89325372802804,7.26008224581097,9.48150810361103,6.34347694355719,7.87620406317512,1,0.415066586775628,2.22142585780006,1.53272711961793
"mean.92",4.48204108215694,4.73979157422331,7.2062369800334,9.05342032521934,6.20764508859723,8.46925445054714,1,0.257750492066377,1.84718334518594,2.26160936194991
